Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000000002|True|Subsidies aan havenbedrijven voor bepaalde havenkapiteindiensten|Subsidies aan havenbedrijven voor bepaalde havenkapiteindiensten
DVR000000003|True|Punctuele, decretale of facultatieve investeringssubsidies|Punctuele, decretale of facultatieve investeringssubsidies
DVR000000004|True|Decretale subsidiëring topsport|Decretale subsidiëring topsport
DVR000000005|True|Pimp je Speelplaats|Pimp je Speelplaats
DVR000000006|True|Subsidies steunpunten|Subsidies steunpunten
DVR000000007|True|Subsidies aan beleidsdomeinoverschrijdende projecten en evenementen die de uitstraling van Vlaanderen bevorderen|Subsidies aan beleidsdomeinoverschrijdende projecten en evenementen die de uitstraling van Vlaanderen bevorderen
DVR000000008|True|Subsidies Vlaams beleid duurzame ontwikkeling|Subsidies Vlaams beleid duurzame ontwikkeling
DVR000000009|True|Subsidies in het kader van het bouwmeesterschap|Subsidies in het kader van het bouwmeesterschap
DVR000000012|True|Subsidies aan de verenigingen waar armen het woord nemen|Subsidies aan de verenigingen waar armen het woord nemen
DVR000000013|True|Subsidies aan organisaties voor de opleiding van ervaringsdeskundigen in de armoede en sociale uitsluiting|Subsidies aan organisaties voor de opleiding van ervaringsdeskundigen in de armoede en sociale uitsluiting
DVR000000016|True|Basissubsidie beheermaatregelen|Basissubsidie beheermaatregelen
DVR000000017|True|Aanvullende subsidie bosomvorming|Aanvullende subsidie bosomvorming
DVR000000018|True|Kmo-portefeuille|Kmo-portefeuille
DVR000000019|True|Subsidie ikv agromilieumaatregelen|Subsidie ikv agromilieumaatregelen
DVR000000020|True|Facultatieve subsidie|Facultatieve subsidie
DVR000000021|True|Deelname buitenlandse beurs of niche-evenement|Deelname buitenlandse beurs of niche-evenement
DVR000000022|True|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand|Erkenning en subsidiëring van voorzieningen van de bijzondere jeugdbijstand
DVR000000023|True|Subsidies voor innovatieve projecten ikv duurzaam materialenbeheer|Subsidies voor innovatieve projecten ikv duurzaam materialenbeheer
DVR000000024|True|Erkenning en subsidiëring van sociaal-toeristische verenigingen|Erkenning en subsidiëring van sociaal-toeristische verenigingen
DVR000000025|True|Verplaatsings- en verblijfskosten ikv toeleiding|Verplaatsings- en verblijfskosten ikv toeleiding
DVR000000026|True|Exploitatiesubsidies havens|Exploitatiesubsidies havens
DVR000000027|True|Vitamine C|Vitamine C
DVR000000028|True|Vlaamse renovatiepremie (RENO)|Vlaamse renovatiepremie (RENO)
DVR000000029|True|Ziekenhuizen - strategisch forfait - kapitaal|Ziekenhuizen - strategisch forfait - kapitaal
DVR000000030|True|Ziekenhuizen - strategisch forfait - intrest|Ziekenhuizen - strategisch forfait - intrest
DVR000000031|True|Subsidies experimenteel sportbeleid|Subsidies experimenteel sportbeleid
DVR000000032|True|Nominatieve subsidies|Nominatieve subsidies
DVR000000033|True|Subsidies internationale sportprojecten|Subsidies internationale sportprojecten
DVR000000034|True|Subsidiëring evenementen - cat. A|Subsidiëring evenementen - cat. A
DVR000000035|True|Subsidiëring evenementen - cat. B|Subsidiëring evenementen - cat. B
DVR000000036|True|Subsidiëring evenementen - cat. C|Subsidiëring evenementen - cat. C
DVR000000037|True|Subsidiëring evenementen - cat. D|Subsidiëring evenementen - cat. D
DVR000000038|True|Dotatie aan het agentschap Sport Vlaanderen voor topsport|Dotatie aan het agentschap Sport Vlaanderen voor topsport
DVR000000039|True|Investeringsdotatie aan Sport Vlaanderen voor Topsportinfrastructuur centra|Investeringsdotatie aan Sport Vlaanderen voor Topsportinfrastructuur centra
DVR000000040|True|Decreet erkenning/subsidiëring Georganiseerde Sportsector|Decreet erkenning/subsidiëring Georganiseerde Sportsector
DVR000000041|True|Decretale subsidiëring Lokaal Sportbeleid|Decretale subsidiëring Lokaal Sportbeleid
DVR000000042|True|Decretale subsidiëring Sport in het Hoger Onderwijs|Decretale subsidiëring Sport in het Hoger Onderwijs
DVR000000043|True|Decretale subsidiëring in het kader van het decreet op de tewerkstelling in de sport|Decretale subsidiëring in het kader van het decreet op de tewerkstelling in de sport
DVR000000044|True|Investeringskredieten Lokale Besturen mbt het decreet inhaalbeweging sportinfrastructuur via alternatieve financiering|Investeringskredieten Lokale Besturen mbt het decreet inhaalbeweging sportinfrastructuur via alternatieve financiering
DVR000000045|True|Investeringskredieten Topsportinfrastructuur|Investeringskredieten Topsportinfrastructuur
DVR000000046|True|Investeringskredieten sportinfrastructuur Lokale Besturen|Investeringskredieten sportinfrastructuur Lokale Besturen
DVR000000047|True|Investeringskredieten financiering voetbalstadions|Investeringskredieten financiering voetbalstadions
DVR000000048|True|Ondersteuning openstellen Schoolsportinfrastructuur experimenteel sportbeleid|Ondersteuning openstellen Schoolsportinfrastructuur experimenteel sportbeleid
DVR000000049|True|Ondersteuning Beleidsrelevant wetenschappelijk onderzoek|Ondersteuning Beleidsrelevant wetenschappelijk onderzoek
DVR000000050|True|Investeringsbijdrage uitvoering globaal sportinfrastructuurplan Vlaanderen voor bovenlokale sportinfrastructuur|Investeringsbijdrage uitvoering globaal sportinfrastructuurplan Vlaanderen voor bovenlokale sportinfrastructuur
DVR000000051|True|Facultatieve project- of werkingssubsidies aan een niet-prioritaire onroerenderfgoedpartner|Facultatieve project- of werkingssubsidies aan een niet-prioritaire onroerenderfgoedpartner
DVR000000052|True|Subsidies aan prioritaire onroerenderfgoedpartners|Subsidies aan prioritaire onroerenderfgoedpartners
DVR000000053|True|Premie beheersplannen in beschermde landschappen|Premie beheersplannen in beschermde landschappen
DVR000000054|True|Erfgoedpremie|Erfgoedpremie
DVR000000055|True|Erfgoedpremie meerjarenovereenkomst|Erfgoedpremie meerjarenovereenkomst
DVR000000056|True|Onderhouds- of landschapspremie voor beschermde landschappen|Onderhouds- of landschapspremie voor beschermde landschappen
DVR000000057|True|Onderhoudspremie voor beschermde monumenten|Onderhoudspremie voor beschermde monumenten
DVR000000058|True|Onderzoekspremie|Onderzoekspremie
